管线号,总寸径,焊口数,试压包号
"8""-VT-AHB-H60-58000004",884.0,126,聚合车间-尾气-0.002Mpa-521
PL-13101A(OUT)-450/600-QXB-JO85,741.732,51,丙交酯框架-导热油供油-1.012Mpa-007
"18""-HTF-AHA-H80-35000006",619.0,38,熔融结晶框架-传热流体-1.545Mpa-386
PL-13114(OUT)-350/450-QXC-J70,616.54,45,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13120(OUT)-80/125-QXA-J60,562.045,181,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13313(OUT)-300/400-QXC-J50,548.3,49,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13112-400/500(OUT)-QXA-J70,509.65999999999997,44,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13413(OUT)-350/450-QXA-J70,502.03,41,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-14109(OUT)-400/500-QXC-J70,490.25,77,丙交酯框架-1bar蒸汽-0.963Mpa-002
CWR-00001-800-QHA(00),485.25,35,管廊-循环水回水-1.14Mpa-413
LS1-16401-200-QHE-H65,483.0,178,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13410(OUT)-150/200-QXC-J65,478.775,76,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13311(OUT)-350/450-QXA-J70,467.53,53,丙交酯框架-1bar蒸汽-0.963Mpa-002
"14""-LD-AHB(S2)-H80-30000009",466.0,38,熔融结晶框架-丙交酯-0.936Mpa-359
PL-14109-400/500-QXC-J70,465.0,35,丙交酯框架-工艺液体-1.401Mpa-030
PL-13414(OUT)-350/450-QXC-J70,452.25,62,丙交酯框架-1bar蒸汽-0.963Mpa-002
"14""-LD-AHB(S2)-H80-30000013",452.0,37,熔融结晶框架-丙交酯-0.936Mpa-347
CWS-00001-800-QHA(00),446.25,32,管廊-循环水上水-1.14Mpa-430
PL-12201-450/600(OUT)QXA-J75,438.77,35,丙交酯框架-4bar蒸汽-1.425Mpa-003
PL-14204(OUT)-450/600-QXA-J70,437.9,40,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-15213(OUT)-300/400-QXC-J50,422.75,72,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13116(OUT)-100/150-QXA-J65,421.68999999999994,134,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-12101(OUT)-450/600-QXA-J75,419.52,37,丙交酯框架-4bar蒸汽-1.425Mpa-003
PL-13002(OUT)-80/125-QXA-J60,419.015,137,丙交酯框架-4bar蒸汽-1.425Mpa-003
"18""-CHWS-AHA-C80-58000002A",416.5,44,聚合车间-冷冻水-1.17Mpa-477
PL-13113(OUT)-350/450-QXA-J70,411.78,39,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-12606(OUT)-100/150-QXA-J60,411.193,100,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-12202(OUT)-350/450-QXA-J70,410.513,64,丙交酯框架-4bar蒸汽-1.425Mpa-003
PG-13104B-1000-QHB-T75,404.5,13,丙交酯框架-工艺气体-0.644Mpa-178
PL-14207(OUT)-80/125-QXA-J60,403.33,99,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-12306(OUT)-80/125-QXA-J60,385.03299999999996,95,丙交酯框架-1bar蒸汽-0.963Mpa-002
"14""-LD-AHB(S2)-H80-30000019",385.0,30,熔融结晶框架-丙交酯-0.967Mpa-333
PL-13102A(OUT)-350/450-QXB-JO85,377.76,38,丙交酯框架-导热油供油-1.012Mpa-007
PL-14303(OUT)-80/125-QXC-J60,377.091,96,丙交酯框架-1bar蒸汽-0.963Mpa-002
PL-13101A-450/600-QXB-JO85,375.0,27,丙交酯框架-工艺液体-1.265Mpa-014
PWW-13708-300-QHB-C50,373.75,43,丙交酯框架-纯水-1.29Mpa-052
PL-13110(OUT)-150/200-QXC-J65,373.52,57,丙交酯框架-1bar蒸汽-0.963Mpa-002
LWR-16701-400-QHA-C50,369.0,36,丙交酯框架-低温水供水-1.05Mpa-046
PL-12301(OUT)-350/450QXA-J70,368.52,38,丙交酯框架-4bar蒸汽-1.425Mpa-003
"18""-CHWR-AHA-C50-58000002A",368.5,31,聚合车间-冷冻水-0.36Mpa-476
PL-12302(OUT)-300/400-QXA-J70,365.513,63,丙交酯框架-4bar蒸汽-1.425Mpa-003
PL-13414-350/450-QXC-J70,365.0,31,丙交酯框架-工艺液体-1.401Mpa-030
PL-13114-350/450-QXC-J70,364.0,30,丙交酯框架-工艺液体-0.623Mpa-044
"1""-LD(OUT)-AXD-H70-54500008",360.12999999999994,218,聚合车间-导热油-2.0Mpa-443
PL-13412(OUT)-400/500-QXA-J70,356.02,26,丙交酯框架-1bar蒸汽-0.963Mpa-002
